Index,restaurant_name,restaurant_category,restaurant_description,restaurant_rating,restaurant_comment_number,restaurant_price_range,restaurant_location,restaurant_services
0,Rua,Pan-Asian restaurant,,4.7,213 Google reviews,££,"Rua de O Século 149 a, 1200-434 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Restaurante Consensual,Restaurant,,4.6,142 Google reviews,,"Travessa da Água da Flor 42, 1200-010 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Plano Restaurante,Restaurant,,4.6,111 Google reviews,,"Rua da Bela Vista à Graça 126, 1170-055 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Tantura,Restaurant,"Warm, easygoing outpost serving Middle Eastern & Turkish grub such as falafel, shakshuka & hummus.",4.7,750 Google reviews,££,"R. do Trombeta 1 D, 1200-471 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No-contact delivery']"
0,JNcQUOI Avenida,Restaurant,,4.6,"1,827 Google reviews",££££,"Av. da Liberdade 182 184, 1250-146 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,The Little Wine Bar,Restaurant,,4.7,294 Google reviews,££,"Calçada do Duque 39, 1200-155 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,A Taberna Do Mar,Restaurant,,4.7,204 Google reviews,££,"Calçada da Graça 20 B, 1100-266 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No delivery']"
0,A Venda Lusitana,Restaurant,,4.6,340 Google reviews,££,"R. do Telhal 75, 1150-345 Lisboa, Portugal","['Dine-in', 'Curbside pickup']"
0,Duque,Restaurant,,4.6,"1,010 Google reviews",££,"R. do Duque 5, 1200-158 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Ofício,Restaurant,,4.5,584 Google reviews,££,"R. Nova da Trindade 11k, 1200-301 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Yak & Yeti,Nepalese restaurant,,4.6,816 Google reviews,£,"Calçada de Santo André 17, 1100-466 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Lisboa à Noite,Portuguese restaurant,"Salt cod, seafood & meat treated in a modern way in stylish surroundings of ancient stables.",4.5,678 Google reviews,£££,"R. das Gáveas 69, 1200-206 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Lisbon You and Me,Restaurant,,4.5,"1,459 Google reviews",£,"R. da Adiça 58, 1100-118 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Epur,Restaurant,,4.8,138 Google reviews,££££,"Largo da Academia Nacional de Belas Artes 14, 1200-289 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Bono Lisboa,Grill,,4.9,115 Google reviews,,"Calçada Ferragial 9, 1200-182 Lisboa, Portugal","['Dine-in', 'Delivery', 'No takeaway']"
0,Augusto Lisboa,Brunch restaurant,"Hip brunch eatery serving savory toasts, banana bread & salads, plus coffee, juice & ice cream.",4.8,"1,032 Google reviews",££,"Rua Santa M.nha 26, 1100-491 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,A Cevicheria,Peruvian restaurant,"Casual Peruvian spot serving ceviche & seafood dishes with an Asian twist, plus pisco sours & wine.",4.4,"2,674 Google reviews",££,"R. Dom Pedro V 129, 1250-096 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Crisfama,Restaurant,,4.8,649 Google reviews,£,"Rua da Cruz de Santa Apolónia 56, 1100-188 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Sommelier Lisbon,European restaurant,,4.6,514 Google reviews,£££,"R. do Telhal 59, 1150-316 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Ramiro,Seafood restaurant,"Relaxed, informal 3-floor seafood and beer drinking eatery established in the 1950s.",4.5,"11,612 Google reviews",£££,"Av. Alm. Reis 1 H, 1150-007 Lisboa, Portugal","['Dine-in', 'Drive-through', 'No-contact delivery']"
0,Estaminé art food drink,Bistro,,4.8,226 Google reviews,,"Calçada do Monte 86A, 1170-112 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Tapisco Lisboa,Restaurant,,4.4,822 Google reviews,£££,"R. Dom Pedro V 81, 1250-096 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Lídia Restaurante & Bar,Restaurant,,4.8,178 Google reviews,££,"R. Martens Ferrão 32, 1050-160 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Fogo,Restaurant,,4.5,210 Google reviews,,"Av. Elias Garcia 57, 1000-114 Lisboa, Portugal",['Dine-in']
0,Maria Catita,Portuguese restaurant,,4.5,"1,763 Google reviews",££,"Rua dos Bacalhoeiros 30, 1100-389 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Pateo - Bairro do Avillez,Portuguese restaurant,,4.3,"4,137 Google reviews",£££,"R. Nova da Trindade 18, 1200-303 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Gambrinus,Portuguese restaurant,"Portuguese dishes, with lots of fish & seafood, in simple setting of dark wood & white tablecloths.",4.4,"1,199 Google reviews",££££,"R. das Portas de Santo Antão 23, 1150-264 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Restaurante Meson Andaluz,Andalusian restaurant,,4.4,"1,081 Google reviews",££,"Tv. do Alecrim 4, 1200-019 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,La Paparrucha,Argentinian restaurant,Modern-rustic Argentinian grill restaurant & bar with terrace & tree-lined views across the city.,4.5,"2,307 Google reviews",£££,"R. Dom Pedro V 18 20, 1250-094 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Local,Health food restaurant,,4.3,"1,036 Google reviews",££,"R. Rodrigues Sampaio 134, 1150-006 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Lisboa é Linda,Restaurant,,4.6,674 Google reviews,££,"Tv. São Paulo 9 13, 1200-431 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Loco,Restaurant,,4.7,260 Google reviews,££££,"R. Navegantes nº53-B, 1200-731 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Nossa Lisboa,Restaurant,,4.4,579 Google reviews,,"R. Joaquim Bonifácio 20A, 1150-134 Lisboa, Portugal","['Dine-in', 'Drive-through', 'No-contact delivery']"
0,Porter,Bistro,,4.4,121 Google reviews,,"Rua do Arsenal 146, 1100-041 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,,Restaurant,,4.9,37 Google reviews,,"Rua Marquês Ponte de Lima 21C, 1100-132 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Coppola,Pizza restaurant,,4.9,89 Google reviews,££,"Praça das Flores 56, 1200-250 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,A Nossa Casa,,,4.8,706 Google reviews,££,"R. da Atalaia 31, 1200-037 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Essencial,Restaurant,"Cozy, trendy restaurant with a local menu focusing on seafood & meat dishes, plus a large wine list.",4.8,107 Google reviews,,"R. da Rosa 176, 1200-390 Lisboa, Portugal",['Dine-in']
0,Downunder,Australian restaurant,,4.7,488 Google reviews,,"R. dos Industriais 21, 1200-685 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Sanskar Nepal,Nepalese restaurant,,4.7,915 Google reviews,£,"das, R. Chagas 25 27, 1200-106 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Restaurante Floresta das Escadinhas,Restaurant,Simple Portuguese outpost offering ample grilled meats & seafood alongside wine & desserts.,4.6,"1,041 Google reviews",£,"R. de Santa Justa 3, 1100-213 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No delivery']"
0,Sucolento,Restaurant,,4.7,455 Google reviews,,"R. do Instituto Industrial 7H, 1200-225 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,"LOOP restaurante, café, mercearia",Restaurant,,4.9,27 Google reviews,,"Largo Agostinho da Silva 1, 1200-009 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Versículo d'O Faia,Portuguese restaurant,"Modern Portuguese seafood dishes served in a romantic, upscale locale with outside seating.",4.7,481 Google reviews,££,"R. da Barroca 60A, 1200-050 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Lugar Marcado,Restaurant,,4.6,210 Google reviews,,"Rua Regedor 7 entre o Largo do Caldas e o, Largo São Cristóvão n, 1100-433 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Adega Dom Luis,Restaurant,,4.7,206 Google reviews,££,"Rua Luís Fernandes 24, 1200-424 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Estórias na Casa da Comida,Restaurant,"Ornate, tiled restaurant with a terrace, serving a high-end gastronomic take on Portuguese cuisine.",4.5,372 Google reviews,£££,"Travessa das Amoreiras 1, 1250-025 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,da Prata 52,Portuguese restaurant,,4.7,"1,211 Google reviews",££,"Rua da Prata 52, 1100-150 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Taberna da Rua das Flores,Restaurant,"Narrow, traditional room with artisanal products lining on shelves & serving historic tapas recipes.",4.3,"1,342 Google reviews",££,"Rua das Flores 103, 1200-194 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Sr. Lisboa,Restaurant,"Updated Portuguese sharing plates with wine & cocktails, served in an artfully funky setting.",4.5,"1,084 Google reviews",££,"R. São José n134 136, 1150-325 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Clube de Jornalistas,Restaurant,,4.6,660 Google reviews,£££,"R. das Trinas 129, 1200-857 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,HAWAII POKE-IN,Restaurant,,4.9,211 Google reviews,£,"R. das Taipas 37, 1250-092 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Bairrices,Portuguese restaurant,,4.6,463 Google reviews,££,"Tv. do Carvalho 27, 1200-097 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Organi Chiado,Vegan restaurant,"A daily-changing menu of plant-based eats with wine, served in nature-inspired digs with terraces.",4.7,"1,204 Google reviews",££,"Calçada Nova de São Francisco 2, 1200-300 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Olá Nepal,Nepalese restaurant,,4.6,"1,193 Google reviews",,"Rua do Conde de Redondo 121A, 1150-104 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No-contact delivery']"
0,Dede's,Cafe,,4.9,202 Google reviews,,"R. de Sant'Ana à Lapa 33, 1200-796 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Maruto,Restaurant,,4.6,509 Google reviews,££,"R. Cais de Santarém 30, 1100-603 Lisboa, Portugal",
0,Akla,Portuguese restaurant,,4.4,128 Google reviews,,"R. Castilho 149D, 1099-034 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Leo Restaurant,Indian restaurant,,4.6,443 Google reviews,£,"Rua do Zaire 17C, 1170-397 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
0,Los Arabos,Restaurant,,5,15 Google reviews,,"Av. Alm. Reis 59D, 1150-007 Lisboa, Portugal","['Dine-in', 'Curbside pickup']"
0,Café do Rio - Hamburgueria Gourmet,Hamburger restaurant,,4.6,"1,079 Google reviews",££,"Rua da Alfândega 114, 1100-016 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Bistrô Gato pardo,Bistro,,4.6,623 Google reviews,££,"R. de São Vicente nr 10, 1100-574 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,M’arrecreo Pizzeria,Restaurant,,4.7,528 Google reviews,££,"R. de São Pedro de Alcântara 35, 1200-270 Lisboa, Portugal","['Dine-in', 'Delivery']"
0,IIIMPAR,Restaurant,,4.6,612 Google reviews,££,"R. Nova de São Mamede 23, 1250-172 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,,Cafe,"Restaurant rich in wood & warm furnishings serving steaks, including a pepper sauce house special.",4.6,672 Google reviews,£££,"R. de São Bento 212, 1200-821 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Solar dos Presuntos,Restaurant,"High-end Portuguese cuisine, rich with fish & seafood but with meat too, in a family-style setting.",4.5,"2,900 Google reviews",,"junto ao Elevador do Lavra, R. das Portas de Santo Antão 150, 1150-269 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
0,O Coradinho,Restaurant,"Unassuming neighborhood kitchen serving traditional Portuguese fare, beer & wine in cozy digs.",4.3,477 Google reviews,£,"R. de Santa Marta 4, 1150-295 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Al Garage,Italian restaurant,"Bright, understated venue with a terrace offering an Italian menu & homemade pasta.",4.4,"2,470 Google reviews",££,"R. Castilho 63, 1250-068 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Mattë Lisboa,Japanese restaurant,,4.6,106 Google reviews,,"Calçada Marquês Abrantes 22, 1200-719 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Cantinho do Avillez,Restaurant,"Portuguese cuisine with a world view, from snacks to main courses, in contemporary cantina setting.",4.3,"1,426 Google reviews",£££,"R. Duques de Bragança 7, 1200-162 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Boi-Cavalo Restaurante,Restaurant,,4.1,233 Google reviews,,"R. do Vigário 70B, 1100-616 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Lisboète,Modern European restaurant,,4.6,146 Google reviews,,"Calçada Marquês Abrantes 94, 1200-720 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,Solar 31 da Calçada - Peixe e Marisco,Restaurant,"Simple, intimate restaurant tucked down an unassuming alley offering Portuguese seafood specialties.",4.5,"1,297 Google reviews",££,"Calçada Garcia 31, 1150-169 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
0,Faz Frio,Restaurant,,4.4,406 Google reviews,££,"R. Dom Pedro V 96, 1250-092, 1250-094 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Carmo,Restaurant,,4.3,921 Google reviews,££,"Largo do Carmo 11, 1200-022 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Leve Leve - Tapas Bar,Tapas restaurant,,4.6,"1,119 Google reviews",£,"Tv. da Boa Hora 39, 1200-011 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Tágide,Restaurant,Menu that gives Portuguese dishes an international edge in 18th-century building with city views.,4.3,481 Google reviews,££,"Largo da Academia Nacional de Belas Artes 18-20, 1200-005 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Pizzeria Romana BIO,Pizza restaurant,,4.6,845 Google reviews,,"R. de São João da Praça 75, 1100-519 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No-contact delivery']"
0,Stasha,Mediterranean restaurant,,4.4,955 Google reviews,££,"R. das Gáveas 21 a 33, 1200-206 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,,Restaurant,,4.7,224 Google reviews,££££,"R. do Teixeira 39, 1200-459 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Legumi Sushi Vegan,Restaurant,,4.7,295 Google reviews,,"Calçada do Combro 56, 1200-452 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Bastardo,Restaurant,Light-filled hotel eatery serving a contemporary twist on classic Portuguese cuisine & cocktails.,4.3,688 Google reviews,££,"Rua da Betesga, 1100-090 Lisboa, Portugal",
0,Taverna Alfacinha,Restaurant,,4.5,531 Google reviews,,"R. dos Sapateiros, 1100-577 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Mini Bar Theater José Avillez,Restaurant,,4.5,815 Google reviews,,"R. Nova da Trindade 18, 1200-235 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
0,Flor de Lis,Restaurant,,4.8,25 Google reviews,,"Av. Eng. Duarte Pacheco 15, 1070-100 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Aviz,Restaurant,,4.6,285 Google reviews,£,"R. das Olarias 2, 1100-133 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Forno d'Oro,Italian restaurant,"Neapolitan pizzas & craft beers served in an acclaimed fixture with elegant, all-white decor.",4.6,"2,604 Google reviews",££,"R. Artilharia 1 16b, 1250-039 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Season,Restaurant,,4.7,257 Google reviews,,"R. Nova da Piedade 62, 1200-299 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Eating Bear,Tapas restaurant,"Cozy spot offering Portuguese-fusion tapas with international flavors, plus wine pairings.",4.5,396 Google reviews,££,"R. da Madalena 62/64, 1100-404 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Popular do Capelo,Restaurant,,4.5,74 Google reviews,£,"R. Capelo 8, 1200-224 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,La Vita é Bella,Italian restaurant,,3.9,972 Google reviews,££,"Rua da Prata 115, 1100-415 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,CARMO TABERNA PORTUGUESA E WINE BAR,Restaurant,,4.4,63 Google reviews,,"R. da Barroca 70, 1200-000 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,A Loja do Sr. Rocha,Restaurant,,4.6,145 Google reviews,£,"Calçada da Estrela 68, 1200-667 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Grapes & Bites - Hostel and Wines,,,4.4,643 Google reviews,,"R. do Norte 85, 1200-284 Lisboa, Portugal",['Dine-in']
0,Le Bar à Crêpes,Restaurant,,4.6,435 Google reviews,£,"Largo da Graça 19, 1170-065 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Taberna do Calhau,Restaurant,,4.3,174 Google reviews,,"Largo das Olarias 23, 1100-376 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,O Canastro,Restaurant,,4.3,130 Google reviews,,"Calçada Santana 49, 1150-320 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Taste of Lisbon Restaurant,Indian Muslim restaurant,,4.1,26 Google reviews,,"R. do Benformoso 133, 1100-087 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Naturalliving,Restaurant,,4.2,15 Google reviews,,"Páteo do Siza, Chiado, R. Garrett 10, 1200-092 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Isco,Restaurant,,4.2,31 Google reviews,,"R. do Almada 29, 1200-109 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Restaurante Bota Alta,Restaurant,,4.2,618 Google reviews,££,"Tv. da Queimada 37, 1200-364 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Vegan Junkies,Vegan restaurant,,4.7,396 Google reviews,££,"R. Luciano Cordeiro 28, 1150-300 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Sinal Verde Restaurant,Restaurant,,4.3,215 Google reviews,££,"Calçada do Combro 42, 1200-115 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,The George,Pub,Classic gastropub grub is prepared at this casual venue showing live sports on TV.,4.3,"1,714 Google reviews",££,"R. do Crucifixo 58 66, 1100-184 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,O Satélite,Restaurant,,4,471 Google reviews,,"Tv. Pereira, 1170-400 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Pizzaria Luzzo,Pizza restaurant,,4.4,"1,384 Google reviews",££,"R. de Santa Marta 37A C, 1150-005 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
0,Restaurante Blend,Restaurant,,4,176 Google reviews,££,"R. do Norte 24, 1200-108 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Santo António de Alfama,Restaurant,"Modern Portuguese menu, cool decor & jazz vibe in hillside old town setting, with courtyard tables.",4,514 Google reviews,££,"Beco São Miguel 7, 1100-538 Lisboa, Portugal",
0,Scoop n Dough,Dessert shop,"Quaint vegan option featuring a variety of unique ice cream flavors, plus frosted & filled donuts.",4.7,721 Google reviews,££,"R. das Portas de Santo Antão 78, 1150-269 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
0,Wel Well Center,Restaurant,,5,16 Google reviews,,"R. Marcos Portugal 18A, 1200-258 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,,Bistro,,4.8,226 Google reviews,,"Calçada do Monte 86A, 1170-112 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,,Restaurant,,4.8,664 Google reviews,£,"Tv. Inglesinhos 49, 1200-223 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Lisbon Wine House,Restaurant,,3.8,25 Google reviews,,"R. das Portas de Santo Antão nº88, 1150-266 Lisboa, Portugal",['Dine-in']
0,Manny's Place Lisbon,Restaurant,,5,1 Google review,,"R. da Barroca 92, 1200-190 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Lisbon,Restaurant,,,,,"Largo do Terreiro do Trigo 6 4, 1150-343 Lisboa, Portugal",
0,Lisbon hostel,Restaurant,,3.7,15 Google reviews,,"Tv. do Fala-Só 24B, 1250-096 Lisboa, Portugal","['Dine-in', 'No delivery']"
0,BellaPasta,Italian restaurant,,3.3,182 Google reviews,,"R. Augusta 278, 1100-202 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Martímo Lisboa Clube,Restaurant,,4.2,48 Google reviews,£,"Calçada da Bica Grande, 1200-109 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Santa Lisboa,Portuguese restaurant,,4.1,9 Google reviews,,"R. de São João da Praça 103, 1100-585 Lisboa, Portugal",['Dine-in']
0,Moma,Restaurant,,3.2,442 Google reviews,££,"R. dos Correeiros 16, 1100-166 Lisboa, Portugal","['Dine-in', 'Takeaway']"
0,Mercado Simply Portuguese,Restaurant,,3.7,23 Google reviews,,"R. de São Pedro de Alcântara 37 27, 1250-237 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
0,Restaurante O Pitéu,Restaurant,,4.5,2 Google reviews,,"Largo da Graça 97, 1170-165 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
